time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20150501 sp258 using calib ID 16,17 (quadratic fits) with AD corr added, file x001-x011"																						
5-1-2015 03:03:30	1.50078	0.00407785	1.50078	0.00407785	1.50078	0.00415731																							
5-1-2015 03:04:30	1.08275	0.00245968	1.08275	0.00245968	1.08275	0.00258373																							
5-1-2015 03:05:30	1.4174	0.00369899	1.4174	0.00369899	1.25065	0.00370214																							
5-1-2015 03:06:30	1.49976	0.00551492	1.49976	0.00527386	1.41644	0.00560024																							
5-1-2015 03:07:30	0.999561	0.00480983	0.999561	0.00480983	0.916264	0.00467401																							
5-1-2015 03:08:30	1.08384	0.00308962	1.08384	0.00308962	1.08384	0.00322752																							
5-1-2015 03:09:30	1.66613	0.00552672	1.66613	0.00552672	1.33291	0.00533499																							
5-1-2015 03:10:30	1.16692	0.00770142	1.16692	0.00497947	1.08357	0.00778279																							
5-1-2015 03:11:30	1.57748	0.00764917	1.57748	0.00640446	1.57748	0.00771477																							
5-1-2015 03:12:30	1.84073	0.00457643	1.84073	0.00457643	1.58972	0.00455194																							
5-1-2015 03:13:30	1.66498	0.00536297	1.66498	0.00536297	1.49848	0.00526163																							
5-1-2015 03:14:30	1.1673	0.00721064	1.1673	0.00594587	1.00055	0.00716618																							
5-1-2015 03:15:30	1.83354	0.0071344	1.83354	0.0071344	1.50017	0.00694494																							
5-1-2015 03:16:30	1.24942	0.00637834	1.24942	0.00629856	1.08283	0.00625305																							
5-1-2015 03:17:30	2.33479	0.0120652	2.33479	0.0112542	1.91786	0.011901																							
5-1-2015 03:18:30	2.41603	0.00834797	2.41603	0.00666051	2.24941	0.00851678																							
5-1-2015 03:19:30	1.50042	0.0240853	1.50042	0.00584733	1.50042	0.0240634																							
5-1-2015 03:20:30	1.41601	0.0084232	1.41601	0.00721254	1.33272	0.00838539																							
5-1-2015 03:21:30	2.00146	0.00968056	2.00146	0.00874185	2.00146	0.00980782																							
5-1-2015 03:22:30	1.16585	0.00499678	1.16585	0.0044519	1.08257	0.00501392																							
5-1-2015 03:23:30	1.41729	0.004478	1.41729	0.004478	1.41729	0.00447775																							
5-1-2015 03:24:30	1.91656	0.00658186	1.91656	0.0060523	1.91656	0.00672586																							
5-1-2015 03:25:30	1.33331	0.0060268	1.33331	0.00483593	1.24997	0.00614561																							
5-1-2015 03:26:30	2.08353	0.00647579	2.08353	0.00647579	2.00019	0.00666485																							
5-1-2015 03:27:30	1.41556	0.00317274	1.41556	0.00317274	1.41556	0.00332473																							
5-1-2015 03:28:30	1.58169	0.00505044	1.58169	0.00505044	1.4152	0.00499286																							
5-1-2015 03:29:30	1.66852	0.0036985	1.66852	0.0036985	1.41824	0.00369079																							
5-1-2015 03:30:30	1.33335	0.00467118	1.33335	0.00415249	1.25002	0.00473298																							
5-1-2015 03:31:30	1.24977	0.011883	1.24977	0.00518606	1.08313	0.0118587																							
5-1-2015 03:32:30	1.41644	0.00484882	1.41644	0.00484882	1.2498	0.00481538																							
5-1-2015 03:33:30	1.25046	0.0629821	1.25046	0.00479913	1.1671	0.0630833																							
5-1-2015 03:34:30	1.41701	0.00419397	1.41701	0.00419397	1.25031	0.00417207																							
5-1-2015 03:35:30	1.33385	0.0106184	1.33385	0.00838199	1.33385	0.0105365																							
5-1-2015 03:36:30	1.74898	0.0142546	1.74898	0.00716713	1.74898	0.0144142																							
5-1-2015 03:37:30	1.58382	0.00338821	1.58382	0.00338821	1.33374	0.00340906																							
5-1-2015 03:38:30	1.16657	0.0029491	1.16657	0.0029491	0.999917	0.00287747																							
5-1-2015 03:39:30	2.08144	0.00730719	2.08144	0.00730719	1.83166	0.00729462																							
5-1-2015 03:40:30	1.25126	0.00699124	1.25126	0.00566236	1.25126	0.00703725																							
5-1-2015 03:41:30	0.91327	0.00398563	0.91327	0.00367175	0.91327	0.00404439																							
5-1-2015 03:42:30	1.17061	0.00459475	1.17061	0.00459475	1.17061	0.00454313																							
5-1-2015 03:43:30	1.9172	0.00477372	1.9172	0.00453749	1.41706	0.00474395																							
5-1-2015 03:44:30	0.999866	0.00421587	0.999866	0.00421587	0.916544	0.00406548																							
5-1-2015 03:45:30	1.9176	0.0069641	1.9176	0.00696295	1.83422	0.00697158																							
5-1-2015 03:46:30	1.41625	0.00322542	1.41625	0.00303322	0.999705	0.00327463																							
5-1-2015 03:47:30	1.49987	0.00536621	1.49987	0.00536621	1.41655	0.00536264																							
5-1-2015 03:48:30	1.49996	0.00485196	1.49996	0.00485196	1.49996	0.00484952																							
5-1-2015 03:49:30	1.16275	0.00370699	1.16275	0.00370699	1.07969	0.00375455																							
5-1-2015 03:50:30	1.42104	0.00946065	1.42104	0.00684807	1.42104	0.00942527																							
5-1-2015 03:51:30	1.9171	0.00571675	1.9171	0.00571675	1.66704	0.00561053																							
5-1-2015 03:52:30	1.33203	0.00334175	1.33203	0.00334175	1.16552	0.00334843																							
5-1-2015 03:53:30	1.66683	0.00737182	1.66683	0.00737919	1.66683	0.00726669																							
5-1-2015 03:54:30	1.50142	0.00909299	1.50142	0.00747289	1.3346	0.00897473																							
5-1-2015 03:55:30	1.91593	0.0118615	1.91593	0.00881864	1.91593	0.0121012																							
5-1-2015 03:56:30	0.91669	0.00318048	0.91669	0.00318048	0.833354	0.00314604																							
