time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		
6/15/2010 16:13:24				
6/15/2010 16:14:24				
6/15/2010 16:15:24				
6/15/2010 16:16:24				
6/15/2010 16:17:24				
6/15/2010 16:18:24				
6/15/2010 16:19:24				
6/15/2010 16:20:24	0.513268	0.000809162		
6/15/2010 16:21:24				
6/15/2010 16:22:24				
6/15/2010 16:23:24				
6/15/2010 16:24:24				
6/15/2010 16:25:24				
6/15/2010 16:26:24				
6/15/2010 16:27:24				
6/15/2010 16:28:24				
6/15/2010 16:29:24				
6/15/2010 16:30:24	0.470057	0.000781104		
6/15/2010 16:31:24				
6/15/2010 16:32:24				
6/15/2010 16:33:24				
6/15/2010 16:34:24				
6/15/2010 16:35:24				
6/15/2010 16:36:24				
