time centers	number conc comb	mass conc comb	number conc BBHG	mass conc BBHG	number conc BBLG	mass conc BBLG	"this is for 20120601 sp244 using calib ID 8,9 (linear fits) with AD corr added, file x001-x013"																						
6-1-2012 03:25:30	0.929932	0.000698254	0.929932	0.000698254	0.929932	0.000737653																							
6-1-2012 03:26:30	0.602315	0.00109904	0.602315	0.00109904	0.602315	0.00112392																							
6-1-2012 03:27:30	1.06629	0.00109821	1.06629	0.00109821	1.06629	0.00113455																							
6-1-2012 03:28:30	0.800364	0.0033352	0.800364	0.00261759	0.800364	0.00336035																							
6-1-2012 03:29:30	0.999657	0.00138258	0.999657	0.00138258	0.999657	0.00139551																							
6-1-2012 03:30:30	0.666953	0.00361306	0.666953	0.0029031	0.666953	0.00362638																							
6-1-2012 03:31:30	1.06659	0.00414289	1.06659	0.00405084	1.06659	0.00420148																							
6-1-2012 03:32:30	1.26714	0.00166246	1.26714	0.00166246	1.26714	0.0016782																							
6-1-2012 03:33:30	0.666326	0.00194911	0.666326	0.00194911	0.666326	0.00196477																							
6-1-2012 03:34:30	1.20021	0.00190771	1.20021	0.00190771	1.20021	0.00191319																							
6-1-2012 03:35:30	1.33351	0.0032462	1.33351	0.0032462	1.33351	0.00329798																							
6-1-2012 03:36:30	1.19963	0.00105713	1.19963	0.00105713	1.19963	0.00109687																							
6-1-2012 03:37:30	0.933152	0.00182631	0.933152	0.00182631	0.933152	0.001861																							
6-1-2012 03:38:30	1.33376	0.00508902	1.33376	0.0042082	1.33376	0.00513085																							
6-1-2012 03:39:30	0.666524	0.00101928	0.666524	0.00101928	0.666524	0.00102379																							
6-1-2012 03:40:30	0.999984	0.0051973	0.999984	0.00157854	0.999984	0.00522478																							
6-1-2012 03:41:30	1.60062	0.00363159	1.60062	0.00364647	1.60062	0.00367358																							
6-1-2012 03:42:30	1.53299	0.00293621	1.53299	0.00293621	1.53299	0.00295229																							
6-1-2012 03:43:30	1.13372	0.0023678	1.13372	0.0023678	1.13372	0.002412																							
6-1-2012 03:44:30	1.19943	0.00171013	1.19943	0.00171013	1.19943	0.00177656																							
6-1-2012 03:45:30	0.733429	0.00200747	0.733429	0.00199949	0.733429	0.00202806																							
6-1-2012 03:46:30	1.53305	0.00229298	1.53305	0.00229298	1.53305	0.00231751																							
6-1-2012 03:47:30	0.667039	0.000893553	0.667039	0.000893553	0.667039	0.000905621																							
6-1-2012 03:48:30	1.46598	0.00171756	1.46598	0.00171756	1.46598	0.00177551																							
6-1-2012 03:49:30	0.866577	0.000792623	0.866577	0.000792623	0.866577	0.000817385																							
6-1-2012 03:50:30	0.600256	0.000945598	0.600256	0.000945598	0.600256	0.00095516																							
6-1-2012 03:51:30	1.19993	0.00190118	1.19993	0.00190118	1.19993	0.00193492																							
6-1-2012 03:52:30	1.06648	0.00226603	1.06648	0.00226603	1.06648	0.00229625																							
6-1-2012 03:53:30	0.866523	0.00169778	0.866523	0.00169778	0.866523	0.00170752																							
6-1-2012 03:54:30	0.800055	0.00199126	0.800055	0.00199126	0.800055	0.00199463																							
6-1-2012 03:55:30	1.06685	0.00161954	1.06685	0.00161954	1.06685	0.00164007																							
6-1-2012 03:56:30	0.666744	0.000812222	0.666744	0.000812222	0.666744	0.000819234																							
6-1-2012 03:57:30	0.932468	0.00250918	0.932468	0.00230074	0.932468	0.00252981																							
6-1-2012 03:58:30	0.934227	0.00111425	0.934227	0.00111425	0.934227	0.00115322																							
6-1-2012 03:59:30	0.733448	0.00234406	0.733448	0.00229251	0.733448	0.00236625																							
6-1-2012 04:00:30	1.13324	0.00298521	1.13324	0.00192727	1.13324	0.00301486																							
6-1-2012 04:01:30	1.59952	0.00312989	1.59952	0.00295431	1.59952	0.00318457																							
6-1-2012 04:02:30	1.13336	0.00302276	1.13336	0.00302801	1.13336	0.00303157																							
6-1-2012 04:03:30	0.333358	0.000712259	0.333358	0.000712259	0.333358	0.000730189																							
6-1-2012 04:04:30	0.866563	0.00967885	0.866563	0.00163625	0.866563	0.00971565																							
6-1-2012 04:05:30	1.4003	0.00290845	1.4003	0.00271068	1.4003	0.00294382																							
6-1-2012 04:06:30	0.866173	0.00197063	0.866173	0.00197063	0.866173	0.0019766																							
6-1-2012 04:07:30	1.26315	0.00138885	1.26315	0.00138885	1.26315	0.00143512																							
6-1-2012 04:08:30	0.735518	0.00143684	0.735518	0.00143684	0.735518	0.00146491																							
6-1-2012 04:09:30	1.13375	0.00130806	1.13375	0.00130806	1.13375	0.00134786																							
6-1-2012 04:10:30	0.999751	0.003694	0.999751	0.00285204	0.999751	0.0037121																							
6-1-2012 04:11:30	0.666845	0.00095	0.666845	0.00095	0.666845	0.000984933																							
6-1-2012 04:12:30	0.799411	0.00172472	0.799411	0.00172472	0.732793	0.00173082																							
6-1-2012 04:13:30	0.600215	0.00148747	0.600215	0.00148747	0.600215	0.00151515																							
6-1-2012 04:14:30	1.1332	0.00213618	1.1332	0.00213618	1.06654	0.00217405																							
6-1-2012 04:15:30	0.932952	0.00116882	0.932952	0.00116882	0.932952	0.00121012																							
6-1-2012 04:16:30	0.600349	0.00174269	0.600349	0.00174269	0.600349	0.00175397																							
6-1-2012 04:17:30	0.800369	0.000848238	0.800369	0.000848238	0.800369	0.00087164																							
6-1-2012 04:18:30	0.799707	0.00254044	0.799707	0.00237327	0.799707	0.00256254																							
6-1-2012 04:19:30	0.932958	0.00357816	0.932958	0.00239277	0.932958	0.00360251																							
6-1-2012 04:20:30	1.19665	0.0034004	1.19665	0.0034004	1.19665	0.00344375																							
6-1-2012 04:21:30	1.0701	0.00218237	1.0701	0.00218237	1.0701	0.00220401																							
6-1-2012 04:22:30	0.866264	0.00125152	0.866264	0.00125152	0.866264	0.00128454																							
6-1-2012 04:23:30	1.26703	0.00198595	1.26703	0.00198595	1.26703	0.00200909																							
6-1-2012 04:24:30	0.733403	0.00162826	0.733403	0.00162826	0.733403	0.0016537																							
6-1-2012 04:25:30	1.06292	0.00522198	1.06292	0.0034351	1.06292	0.00524417																							
6-1-2012 04:26:30	1.00361	0.00272886	1.00361	0.00272886	1.00361	0.00271953																							
6-1-2012 04:27:30	0.866805	0.000686305	0.866805	0.000686305	0.866805	0.000710782																							
6-1-2012 04:28:30	1.06634	0.00185508	1.06634	0.00185508	1.06634	0.0018689																							
6-1-2012 04:29:30	0.600043	0.000266895	0.600043	0.000266895	0.600043	0.000286333																							
6-1-2012 04:30:30	0.733059	0.00126362	0.733059	0.00126362	0.733059	0.00129873																							
6-1-2012 04:31:30	1.13348	0.0017916	1.13348	0.0017916	1.0668	0.00181125																							
6-1-2012 04:32:30	0.863934	0.00140356	0.863934	0.00140356	0.863934	0.00143384																							
6-1-2012 04:33:30	0.999442	0.00296497	0.999442	0.00292549	0.999442	0.00298939																							
6-1-2012 04:34:30	0.468532	0.000452729	0.468532	0.000452729	0.468532	0.000462001																							
6-1-2012 04:35:30	1.79351	0.00279585	1.79351	0.00279585	1.79351	0.00284055																							
6-1-2012 04:36:30	1.2044	0.0024584	1.2044	0.0024584	1.2044	0.0024915																							
6-1-2012 04:37:30	1.26642	0.00271539	1.26642	0.00263069	1.26642	0.00275867																							
6-1-2012 04:38:30	1.00034	0.00220164	1.00034	0.00220164	1.00034	0.00223441																							
6-1-2012 04:39:30	1.13271	0.00226613	1.13271	0.00226613	1.13271	0.00229847																							
6-1-2012 04:40:30	0.866568	0.0027728	0.866568	0.00258991	0.866568	0.00280208																							
