time centers	number conc BBHG	mass conc BBHG	"this is for 20130601 using calib ID 2, AD corr added, file x001-x010"
6-1-2013 01:14:05	24.0111		
6-1-2013 01:14:15	24.9873		
6-1-2013 01:14:25	20.9816		
6-1-2013 01:14:35	19.025		
6-1-2013 01:14:45	25.7165		
6-1-2013 01:14:55	22.5527		
6-1-2013 01:15:05	20.4468		
6-1-2013 01:15:15	22.0047		
6-1-2013 01:15:25	18.5207		
6-1-2013 01:15:35	23.9834		
6-1-2013 01:15:45	20.4809		
6-1-2013 01:15:55	26.0362		
6-1-2013 01:16:05	21.5034		
6-1-2013 01:16:15	30.4923		
6-1-2013 01:16:25	23.5469		
6-1-2013 01:16:35	23.9446		
6-1-2013 01:16:45	24.5378		
6-1-2013 01:16:55	27.9614		
6-1-2013 01:17:05	23.512		
6-1-2013 01:17:15	29.0385		
6-1-2013 01:17:25	19.9775		
6-1-2013 01:17:35	24.9762		
6-1-2013 01:17:45	30.5496		
6-1-2013 01:17:55	20.4964		
6-1-2013 01:18:05	22.0006		
6-1-2013 01:18:15	23.5033		
6-1-2013 01:18:25	18.5006		
6-1-2013 01:18:35	24.9844		
6-1-2013 01:18:45	20.5108		
6-1-2013 01:18:55	30.4515		
6-1-2013 01:19:05	28.0013		
6-1-2013 01:19:15	29.5411		
6-1-2013 01:19:25	33.4678		
6-1-2013 01:19:35	24.021		
6-1-2013 01:19:45	30.5432		
6-1-2013 01:19:55	27.4687		
6-1-2013 01:20:05	31.0039		
6-1-2013 01:20:15	25.4911		
6-1-2013 01:20:25	24.5203		
6-1-2013 01:20:35	27.4993		
6-1-2013 01:20:45	35.5131		
6-1-2013 01:20:55	35.4979		
6-1-2013 01:21:05	29.9626		
6-1-2013 01:21:15	25.9805		
6-1-2013 01:21:25	45.6325		
6-1-2013 01:21:35	31.953		
6-1-2013 01:21:45	37.4802		
6-1-2013 01:21:55	36.5227		
6-1-2013 01:22:05	37.5228		
6-1-2013 01:22:15	29.9685		
6-1-2013 01:22:25	22.5057		
6-1-2013 01:22:35	22.4964		
6-1-2013 01:22:45	33.9862		
6-1-2013 01:22:55	40.0137		
6-1-2013 01:23:05	42.5402		
