time centers	number conc BBHG	mass conc BBHG	"this is for 20110801 sp217 using calib ID 1 (linear fit) with AD corr added, file x001-x007"	
8-1-2011 06:10:02				
8-1-2011 06:11:02				
8-1-2011 06:12:02				
8-1-2011 06:13:02				
8-1-2011 06:14:02				
8-1-2011 06:15:02				
8-1-2011 06:16:02				
8-1-2011 06:17:02				
8-1-2011 06:18:02	0.0299755	9.83E-05		
8-1-2011 06:19:02				
8-1-2011 06:20:02				
8-1-2011 06:21:02				
8-1-2011 06:22:02				
8-1-2011 06:23:02				
8-1-2011 06:24:02				
8-1-2011 06:25:02				
8-1-2011 06:26:02				
8-1-2011 06:27:02				
8-1-2011 06:28:02	0.0358524	9.99E-05		
8-1-2011 06:29:02				
8-1-2011 06:30:02				
8-1-2011 06:31:02				
8-1-2011 06:32:02				
8-1-2011 06:33:02				
8-1-2011 06:34:02				
8-1-2011 06:35:02				
8-1-2011 06:36:02				
8-1-2011 06:37:02				
8-1-2011 06:38:02	0.0466154	8.09E-05		
8-1-2011 06:39:02				
8-1-2011 06:40:02				
8-1-2011 06:41:02				
8-1-2011 06:42:02				
8-1-2011 06:43:02				
8-1-2011 06:44:02				
8-1-2011 06:45:02				
8-1-2011 06:46:02				
8-1-2011 06:47:02				
8-1-2011 06:48:02	0.0500921	9.07E-05		
8-1-2011 06:49:02				
8-1-2011 06:50:02				
8-1-2011 06:51:02				
8-1-2011 06:52:02				
8-1-2011 06:53:02				
8-1-2011 06:54:02				
8-1-2011 06:55:02				
8-1-2011 06:56:02				
8-1-2011 06:57:02				
8-1-2011 06:58:02	0.067271	0.000117414		
8-1-2011 06:59:02				
8-1-2011 07:00:02				
8-1-2011 07:01:02				
8-1-2011 07:02:02				
8-1-2011 07:03:02				
8-1-2011 07:04:02				
8-1-2011 07:05:02				
8-1-2011 07:06:02				
8-1-2011 07:07:02				
8-1-2011 07:08:02	0.0607302	0.000135824		
8-1-2011 07:09:02				
8-1-2011 07:10:02				
8-1-2011 07:11:02				
8-1-2011 07:12:02				
8-1-2011 07:13:02				
8-1-2011 07:14:02				
8-1-2011 07:15:02				
8-1-2011 07:16:02				
8-1-2011 07:17:02				
8-1-2011 07:18:02	0.0609084	0.000139019		
8-1-2011 07:19:02				
8-1-2011 07:20:02				
8-1-2011 07:21:02				
8-1-2011 07:22:02				
8-1-2011 07:23:02				
8-1-2011 07:24:02				
8-1-2011 07:25:02				
8-1-2011 07:26:02				
8-1-2011 07:27:02				
8-1-2011 07:28:02	0.123509	0.000190813		
8-1-2011 07:29:02				
8-1-2011 07:30:02				
8-1-2011 07:31:02				
8-1-2011 07:32:02				
8-1-2011 07:33:02				
8-1-2011 07:34:02				
8-1-2011 07:35:02				
8-1-2011 07:36:02				
8-1-2011 07:37:02				
8-1-2011 07:38:02	1.2531	0.002371		
8-1-2011 07:39:02	0.000925419	1.84E-06		
8-1-2011 07:40:02				
8-1-2011 07:41:02				
8-1-2011 07:42:02				
8-1-2011 07:43:02				
8-1-2011 07:44:02				
8-1-2011 07:45:02				
8-1-2011 07:46:02				
8-1-2011 07:47:02				
8-1-2011 07:48:02	0.190906	0.000310117		
8-1-2011 07:49:02				
8-1-2011 07:50:02				
8-1-2011 07:51:02				
8-1-2011 07:52:02				
8-1-2011 07:53:02				
8-1-2011 07:54:02				
8-1-2011 07:55:02				
8-1-2011 07:56:02				
8-1-2011 07:57:02				
8-1-2011 07:58:02	0.205365	0.000262305		
8-1-2011 07:59:02				
8-1-2011 08:00:02				
8-1-2011 08:01:02				
8-1-2011 08:02:02				
8-1-2011 08:03:02				
8-1-2011 08:04:02				
8-1-2011 08:05:02				
8-1-2011 08:06:02				
8-1-2011 08:07:02				
8-1-2011 08:08:02	0.155329	0.000253653		
8-1-2011 08:09:02				
8-1-2011 08:10:02				
8-1-2011 08:11:02				
8-1-2011 08:12:02				
8-1-2011 08:13:02				
8-1-2011 08:14:02				
8-1-2011 08:15:02				
8-1-2011 08:16:02				
8-1-2011 08:17:02				
8-1-2011 08:18:02	0.214372	0.000322829		
8-1-2011 08:19:02				
8-1-2011 08:20:02				
8-1-2011 08:21:02				
8-1-2011 08:22:02				
8-1-2011 08:23:02				
8-1-2011 08:24:02				
8-1-2011 08:25:02				
8-1-2011 08:26:02				
8-1-2011 08:27:02				
8-1-2011 08:28:02	0.288309	0.000534001		
8-1-2011 08:29:02				
8-1-2011 08:30:02				
8-1-2011 08:31:02				
8-1-2011 08:32:02				
8-1-2011 08:33:02				
8-1-2011 08:34:02				
8-1-2011 08:35:02				
8-1-2011 08:36:02				
8-1-2011 08:37:02				
8-1-2011 08:38:02	0.219798	0.00037072		
8-1-2011 08:39:02				
8-1-2011 08:40:02				
8-1-2011 08:41:02				
8-1-2011 08:42:02				
8-1-2011 08:43:02				
8-1-2011 08:44:02				
8-1-2011 08:45:02				
8-1-2011 08:46:02				
8-1-2011 08:47:02				
8-1-2011 08:48:02	0.135446	0.000250754		
8-1-2011 08:49:02				
8-1-2011 08:50:02				
8-1-2011 08:51:02				
8-1-2011 08:52:02				
8-1-2011 08:53:02				
8-1-2011 08:54:02				
8-1-2011 08:55:02				
8-1-2011 08:56:02				
8-1-2011 08:57:02				
8-1-2011 08:58:02	0.102789	0.000448152		
8-1-2011 08:59:02				
8-1-2011 09:00:02				
8-1-2011 09:01:02				
8-1-2011 09:02:02				
8-1-2011 09:03:02				
8-1-2011 09:04:02				
8-1-2011 09:05:02				
8-1-2011 09:06:02				
8-1-2011 09:07:02				
8-1-2011 09:08:02	0.119149	0.000173439		
8-1-2011 09:09:02				
8-1-2011 09:10:02				
8-1-2011 09:11:02				
8-1-2011 09:12:02				
8-1-2011 09:13:02				
8-1-2011 09:14:02				
8-1-2011 09:15:02				
8-1-2011 09:16:02				
8-1-2011 09:17:02				
8-1-2011 09:18:02	0.0500319	0.00010722		
8-1-2011 09:19:02				
8-1-2011 09:20:02				
8-1-2011 09:21:02				
8-1-2011 09:22:02				
8-1-2011 09:23:02				
8-1-2011 09:24:02				
8-1-2011 09:25:02				
8-1-2011 09:26:02				
8-1-2011 09:27:02				
8-1-2011 09:28:02	0.0466403	7.91E-05		
8-1-2011 09:29:02				
8-1-2011 09:30:02				
8-1-2011 09:31:02				
8-1-2011 09:32:02				
8-1-2011 09:33:02				
8-1-2011 09:34:02				
8-1-2011 09:35:02				
8-1-2011 09:36:02				
8-1-2011 09:37:02				
8-1-2011 09:38:02	0.0640584	0.000144434		
8-1-2011 09:39:02				
8-1-2011 09:40:02				
8-1-2011 09:41:02				
8-1-2011 09:42:02				
8-1-2011 09:43:02				
8-1-2011 09:44:02				
8-1-2011 09:45:02				
8-1-2011 09:46:02				
8-1-2011 09:47:02				
8-1-2011 09:48:02	0.62608	0.00147307		
8-1-2011 09:49:02	0	0		
8-1-2011 09:50:02				
8-1-2011 09:51:02				
8-1-2011 09:52:02				
8-1-2011 09:53:02				
8-1-2011 09:54:02				
8-1-2011 09:55:02				
8-1-2011 09:56:02				
8-1-2011 09:57:02				
8-1-2011 09:58:02	0.0684836	0.000140442		
8-1-2011 09:59:02				
8-1-2011 10:00:02				
8-1-2011 10:01:02				
8-1-2011 10:02:02				
8-1-2011 10:03:02				
8-1-2011 10:04:02				
8-1-2011 10:05:02				
8-1-2011 10:06:02				
8-1-2011 10:07:02				
8-1-2011 10:08:02	0.066654	0.000147351		
8-1-2011 10:09:02				
8-1-2011 10:10:02				
8-1-2011 10:11:02				
8-1-2011 10:12:02				
8-1-2011 10:13:02				
8-1-2011 10:14:02				
8-1-2011 10:15:02				
8-1-2011 10:16:02				
8-1-2011 10:17:02				
8-1-2011 10:18:02	0.0694426	0.000282233		
8-1-2011 10:19:02				
8-1-2011 10:20:02				
8-1-2011 10:21:02				
8-1-2011 10:22:02				
8-1-2011 10:23:02				
8-1-2011 10:24:02				
8-1-2011 10:25:02				
8-1-2011 10:26:02				
8-1-2011 10:27:02				
8-1-2011 10:28:02	0.0672737	0.000193629		
8-1-2011 10:29:02				
8-1-2011 10:30:02				
8-1-2011 10:31:02				
8-1-2011 10:32:02				
8-1-2011 10:33:02				
8-1-2011 10:34:02				
8-1-2011 10:35:02				
8-1-2011 10:36:02				
8-1-2011 10:37:02				
8-1-2011 10:38:02	0.0549383	8.39E-05		
8-1-2011 10:39:02				
8-1-2011 10:40:02				
8-1-2011 10:41:02				
8-1-2011 10:42:02				
8-1-2011 10:43:02				
8-1-2011 10:44:02				
8-1-2011 10:45:02				
8-1-2011 10:46:02				
8-1-2011 10:47:02				
8-1-2011 10:48:02	0.0609478	0.000108958		
8-1-2011 10:49:02				
8-1-2011 10:50:02				
8-1-2011 10:51:02				
8-1-2011 10:52:02				
8-1-2011 10:53:02				
8-1-2011 10:54:02				
8-1-2011 10:55:02				
8-1-2011 10:56:02				
8-1-2011 10:57:02				
8-1-2011 10:58:02	0.070208	7.95E-05		
8-1-2011 10:59:02				
8-1-2011 11:00:02				
8-1-2011 11:01:02				
8-1-2011 11:02:02				
8-1-2011 11:03:02				
8-1-2011 11:04:02				
8-1-2011 11:05:02				
8-1-2011 11:06:02				
8-1-2011 11:07:02				
8-1-2011 11:08:02	0.0700959	0.000137516		
8-1-2011 11:09:02				
8-1-2011 11:10:02				
8-1-2011 11:11:02				
8-1-2011 11:12:02				
8-1-2011 11:13:02				
8-1-2011 11:14:02				
8-1-2011 11:15:02				
8-1-2011 11:16:02				
8-1-2011 11:17:02				
8-1-2011 11:18:02	0.0717828	0.000116724		
8-1-2011 11:19:02				
8-1-2011 11:20:02				
8-1-2011 11:21:02				
8-1-2011 11:22:02				
8-1-2011 11:23:02				
