time_centers	BBHG_tser_numbconc	BBHG_tser_massconc		date: 	20090701
7-1-2009 09:26:42					
7-1-2009 09:27:42					
7-1-2009 09:28:42					
7-1-2009 09:29:42					
7-1-2009 09:30:42					
7-1-2009 09:31:42					
7-1-2009 09:32:42					
7-1-2009 09:33:42					
7-1-2009 09:34:42					
7-1-2009 09:35:42					
7-1-2009 09:36:42	0.231604	0.000208982			
7-1-2009 09:37:42					
7-1-2009 09:38:42					
7-1-2009 09:39:42					
7-1-2009 09:40:42					
7-1-2009 09:41:42					
7-1-2009 09:42:42					
7-1-2009 09:43:42					
7-1-2009 09:44:42					
7-1-2009 09:45:42					
7-1-2009 09:46:42					
7-1-2009 09:47:42					
7-1-2009 09:48:42					
7-1-2009 09:49:42					
7-1-2009 09:50:42					
7-1-2009 09:51:42	0.27875	0.000285423			
7-1-2009 09:52:42					
7-1-2009 09:53:42					
7-1-2009 09:54:42					
7-1-2009 09:55:42					
7-1-2009 09:56:42					
7-1-2009 09:57:42					
7-1-2009 09:58:42					
7-1-2009 09:59:42					
7-1-2009 10:00:42					
7-1-2009 10:01:42					
7-1-2009 10:02:42					
7-1-2009 10:03:42					
7-1-2009 10:04:42					
7-1-2009 10:05:42					
7-1-2009 10:06:42	0.280961	0.000239124			
7-1-2009 10:07:42					
7-1-2009 10:08:42					
7-1-2009 10:09:42					
7-1-2009 10:10:42					
7-1-2009 10:11:42					
7-1-2009 10:12:42					
7-1-2009 10:13:42					
7-1-2009 10:14:42					
7-1-2009 10:15:42					
7-1-2009 10:16:42					
7-1-2009 10:17:42					
7-1-2009 10:18:42					
7-1-2009 10:19:42					
7-1-2009 10:20:42					
7-1-2009 10:21:42	0.724357	0.000596835			
7-1-2009 10:22:42					
7-1-2009 10:23:42					
7-1-2009 10:24:42					
7-1-2009 10:25:42					
7-1-2009 10:26:42					
7-1-2009 10:27:42					
7-1-2009 10:28:42					
7-1-2009 10:29:42					
7-1-2009 10:30:42					
7-1-2009 10:31:42					
7-1-2009 10:32:42					
7-1-2009 10:33:42					
7-1-2009 10:34:42					
7-1-2009 10:35:42					
7-1-2009 10:36:42	0.332494	0.00031284			
7-1-2009 10:37:42					
7-1-2009 10:38:42					
7-1-2009 10:39:42					
7-1-2009 10:40:42					
7-1-2009 10:41:42					
7-1-2009 10:42:42					
7-1-2009 10:43:42					
7-1-2009 10:44:42					
7-1-2009 10:45:42					
7-1-2009 10:46:42					
7-1-2009 10:47:42					
7-1-2009 10:48:42					
7-1-2009 10:49:42					
7-1-2009 10:50:42					
7-1-2009 10:51:42	0.430025	0.000353215			
7-1-2009 10:52:42					
7-1-2009 10:53:42					
7-1-2009 10:54:42					
7-1-2009 10:55:42					
7-1-2009 10:56:42					
7-1-2009 10:57:42					
7-1-2009 10:58:42					
7-1-2009 10:59:42					
7-1-2009 11:00:42					
7-1-2009 11:01:42					
7-1-2009 11:02:42					
7-1-2009 11:03:42					
7-1-2009 11:04:42					
7-1-2009 11:05:42					
7-1-2009 11:06:42	0.863546	0.000624062			
7-1-2009 11:07:42					
7-1-2009 11:08:42					
7-1-2009 11:09:42					
7-1-2009 11:10:42					
7-1-2009 11:11:42					
7-1-2009 11:12:42					
7-1-2009 11:13:42					
7-1-2009 11:14:42					
7-1-2009 11:15:42					
7-1-2009 11:16:42					
7-1-2009 11:17:42					
7-1-2009 11:18:42					
7-1-2009 11:19:42					
7-1-2009 11:20:42					
7-1-2009 11:21:42	0.516678	0.000379491			
7-1-2009 11:22:42					
7-1-2009 11:23:42					
7-1-2009 11:24:42					
7-1-2009 11:25:42					
7-1-2009 11:26:42					
7-1-2009 11:27:42					
7-1-2009 11:28:42					
7-1-2009 11:29:42					
7-1-2009 11:30:42					
7-1-2009 11:31:42					
7-1-2009 11:32:42					
7-1-2009 11:33:42					
7-1-2009 11:34:42					
7-1-2009 11:35:42					
7-1-2009 11:36:42	0.513166	0.000433375			
7-1-2009 11:37:42					
7-1-2009 11:38:42					
7-1-2009 11:39:42					
7-1-2009 11:40:42					
7-1-2009 11:41:42					
7-1-2009 11:42:42					
7-1-2009 11:43:42					
7-1-2009 11:44:42					
7-1-2009 11:45:42					
7-1-2009 11:46:42					
7-1-2009 11:47:42					
7-1-2009 11:48:42					
7-1-2009 11:49:42					
7-1-2009 11:50:42					
7-1-2009 11:51:42	1.0365	0.000827187			
7-1-2009 11:52:42					
7-1-2009 11:53:42					
7-1-2009 11:54:42					
7-1-2009 11:55:42					
7-1-2009 11:56:42					
7-1-2009 11:57:42					
7-1-2009 11:58:42					
7-1-2009 11:59:42					
7-1-2009 12:00:42					
7-1-2009 12:01:42					
7-1-2009 12:02:42					
7-1-2009 12:03:42					
7-1-2009 12:04:42					
7-1-2009 12:05:42					
7-1-2009 12:06:42	0.878685	0.000727569			
7-1-2009 12:07:42					
7-1-2009 12:08:42					
7-1-2009 12:09:42					
7-1-2009 12:10:42					
7-1-2009 12:11:42					
7-1-2009 12:12:42					
7-1-2009 12:13:42					
7-1-2009 12:14:42					
7-1-2009 12:15:42					
7-1-2009 12:16:42					
7-1-2009 12:17:42					
7-1-2009 12:18:42					
7-1-2009 12:19:42					
7-1-2009 12:20:42					
