time centers	number conc BBHG	mass conc BBHG	"this is for 20140801 sp217 using calib ID 4 (linear fit) with AD corr added, file x001-x007"			
8-1-2014 14:14:15	0	0				
8-1-2014 14:14:25	0	0				
8-1-2014 14:14:35	0	0				
8-1-2014 14:14:45	0	0				
8-1-2014 14:14:55	0	0				
8-1-2014 14:15:05	0	0				
8-1-2014 14:15:15	0	0				
8-1-2014 14:15:25	0	0				
8-1-2014 14:15:35	0	0				
8-1-2014 14:15:45	0	0				
8-1-2014 14:15:55	0.504814	0.000115562				
8-1-2014 14:16:05	0	0				
8-1-2014 14:16:15	0	0				
8-1-2014 14:16:25	0	0				
8-1-2014 14:16:35	0.505003	0.000126724				
8-1-2014 14:16:45	0	0				
8-1-2014 14:16:55	1.07459	0.000294631				
8-1-2014 14:17:05	0	0				
8-1-2014 14:17:15	0.741091	0.000468187				
8-1-2014 14:17:25	0	0				
8-1-2014 14:17:35	0.971667	0.000636053				
8-1-2014 14:17:45	0	0				
8-1-2014 14:17:55	0	0				
8-1-2014 14:18:05	0	0				
8-1-2014 14:18:15	0.581212	0.000426187				
8-1-2014 14:18:25	0.493998	0.000107619				
8-1-2014 14:18:35	0	0				
8-1-2014 14:18:45	0	0				
8-1-2014 14:18:55	1.07457	0.00117421				
8-1-2014 14:19:05	0	0				
8-1-2014 14:19:15	0	0				
8-1-2014 14:19:25	0.472175	0.000144172				
8-1-2014 14:19:35	0	0				
8-1-2014 14:19:45	0.953001	0.000285529				
8-1-2014 14:19:55	0	0				
8-1-2014 14:20:05	0.952416	0.000632349				
8-1-2014 14:20:15	0.543486	0.000953595				
8-1-2014 14:20:25	0.489721	0.000103622				
8-1-2014 14:20:35	1.39013	0.000634817				
8-1-2014 14:20:45	1.4694	0.000436198				
8-1-2014 14:20:55	1.7988	0.000435111				
8-1-2014 14:21:05	0.590167	0.000152324				
8-1-2014 14:21:15	0.494821	0.000117044				
8-1-2014 14:21:25	1.01953	0.000651063				
8-1-2014 14:21:35	0.467462	0.000106014				
8-1-2014 14:21:45	0.495139	0.00025632				
8-1-2014 14:21:55	0.494137	0.000401465				
8-1-2014 14:22:05	0.98257	0.000299413				
8-1-2014 14:22:15	0.548769	0.000118991				
8-1-2014 14:22:25	1.06559	0.00181012				
8-1-2014 14:22:35	1.05354	0.00087772				
8-1-2014 14:22:45	0.832722	0.000227947				
8-1-2014 14:22:55	1.14901	0.00104144				
8-1-2014 14:23:05	0.520473	0.000155839				
8-1-2014 14:23:15	0	0				
8-1-2014 14:23:25	1.05239	0.000396789				
8-1-2014 14:23:35	0.431843	0.000101246				
8-1-2014 14:23:45	0.560802	0.000260109				
8-1-2014 14:23:55	0.989816	0.00247052				
8-1-2014 14:24:05	0.417038	0.000110627				
8-1-2014 14:24:15	0	0				
8-1-2014 14:24:25	0	0				
8-1-2014 14:24:35	1.1218	0.000516162				
8-1-2014 14:24:45	0.55029	0.000124375				
8-1-2014 14:24:55	1.36364	0.0010314				
8-1-2014 14:25:05	0.402896	0.00017809				
8-1-2014 14:25:15	0.746249	0.000252258				
8-1-2014 14:25:25	0.43922	0.000276682				
8-1-2014 14:25:35	0	0				
8-1-2014 14:25:45	0	0				
8-1-2014 14:25:55	0	0				
8-1-2014 14:26:05	1.75423	0.000854556				
8-1-2014 14:26:15	1.11012	0.000794799				
8-1-2014 14:26:25	1.4281	0.000420044				
8-1-2014 14:26:35	0.555597	0.000229134				
8-1-2014 14:26:45	1.48616	0.000725913				
8-1-2014 14:26:55	0.434961	0.000589676				
8-1-2014 14:27:05	1.17628	0.000295599				
8-1-2014 14:27:15	0.393189	0.00139995				
8-1-2014 14:27:25	0	0				
8-1-2014 14:27:35	0	0				
8-1-2014 14:27:45	0.980302	0.000465306				
8-1-2014 14:27:55	0	0				
8-1-2014 14:28:05	0.458455	9.74E-05				
8-1-2014 14:28:15	1.31742	0.000365809				
8-1-2014 14:28:25	1.18938	0.000304891				
8-1-2014 14:28:35	0.555578	0.000121702				
8-1-2014 14:28:45	1.27376	0.00112069				
8-1-2014 14:28:55	0.499632	0.000111702				
8-1-2014 14:29:05	0.602564	0.00038637				
8-1-2014 14:29:15	1.33813	0.00080135				
8-1-2014 14:29:25	1.15006	0.000446419				
8-1-2014 14:29:35	0.427834	0.000152956				
8-1-2014 14:29:45	1.84916	0.00086364				
8-1-2014 14:29:55	0	0				
8-1-2014 14:30:05	0.981451	0.000435229				
8-1-2014 14:30:15	1.57808	0.000546446				
8-1-2014 14:30:25	0.520801	0.00011902				
8-1-2014 14:30:35	1.02096	0.000621545				
8-1-2014 14:30:45	1.42739	0.000540521				
8-1-2014 14:30:55	0.980222	0.000279482				
8-1-2014 14:31:05	0.521407	0.000110824				
8-1-2014 14:31:15	0	0				
8-1-2014 14:31:25	1.21945	0.000306766				
8-1-2014 14:31:35	0.490456	0.00043324				
8-1-2014 14:31:45	1.35219	0.000623753				
8-1-2014 14:31:55	0	0				
8-1-2014 14:32:05	0	0				
8-1-2014 14:32:15	0.463081	0.000170146				
8-1-2014 14:32:25	0	0				
8-1-2014 14:32:35	0.46721	0.00014202				
8-1-2014 14:32:45	1.00103	0.000231165				
8-1-2014 14:32:55	0	0				
8-1-2014 14:33:05	0.847672	0.000348513				
8-1-2014 14:33:15	0	0				
8-1-2014 14:33:25	0.491069	0.00012227				
8-1-2014 14:33:35	0	0				
8-1-2014 14:33:45	0.423994	0.000157419				
8-1-2014 14:33:55	1.85382	0.000686782				
8-1-2014 14:34:05	0	0				
8-1-2014 14:34:15	0	0				
8-1-2014 14:34:25	1.05287	0.000377357				
8-1-2014 14:34:35	0.934154	0.000748527				
8-1-2014 14:34:45	1.11299	0.000281663				
8-1-2014 14:34:55	0	0				
8-1-2014 14:35:05	1.03075	0.000721687				
8-1-2014 14:35:15	0.515036	0.000122445				
8-1-2014 14:35:25	0.49546	0.000363824				
8-1-2014 14:35:35	0.423746	0.000106843				
8-1-2014 14:35:45	0.62521	0.000143619				
8-1-2014 14:35:55	0	0				
8-1-2014 14:36:05	1.31531	0.000689848				
8-1-2014 14:36:15	0.63183	0.000136056				
8-1-2014 14:36:25	0.476034	0.000464186				
8-1-2014 14:36:35	0.505635	0.000120106				
8-1-2014 14:36:45	0.485114	0.000131875				
8-1-2014 14:36:55	0.499498	0.000391006				
8-1-2014 14:37:05	1.03377	0.000269434				
8-1-2014 14:37:15	0.970507	0.000234634				
8-1-2014 14:37:25	1.08679	0.000490296				
8-1-2014 14:37:35	0	0				
8-1-2014 14:37:45	1.24956	0.000351997				
8-1-2014 14:37:55	0.427399	0.000133892				
8-1-2014 14:38:05	0	0				
8-1-2014 14:38:15	0.520451	0.000158252				
8-1-2014 14:38:25	0	0				
8-1-2014 14:38:35	0	0				
8-1-2014 14:38:45	0	0				
8-1-2014 14:38:55	0.520045	0.000185286				
8-1-2014 14:39:05	0.901289	0.000482043				
8-1-2014 14:39:15	1.12582	0.000358968				
8-1-2014 14:39:25	0	0				
8-1-2014 14:39:35	0	0				
8-1-2014 14:39:45	0.961049	0.000339632				
8-1-2014 14:39:55	1.11343	0.0033355				
8-1-2014 14:40:05	0.485869	0.000472541				
8-1-2014 14:40:15	1.04048	0.000308589				
8-1-2014 14:40:25	0.434507	0.000112955				
8-1-2014 14:40:35	0	0				
8-1-2014 14:40:45	0	0				
8-1-2014 14:40:55	0.504664	0.000258218				
8-1-2014 14:41:05	0.990203	0.000452492				
8-1-2014 14:41:15	0	0				
8-1-2014 14:41:25	0	0				
8-1-2014 14:41:35	0	0				
8-1-2014 14:41:45	0	0				
8-1-2014 14:41:55	0.495378	0.000266182				
8-1-2014 14:42:05	0.515483	0.000223696				
8-1-2014 14:42:15	0.990495	0.000814875				
8-1-2014 14:42:25	0.49463	0.000228711				
8-1-2014 14:42:35	0	0				
8-1-2014 14:42:45	0.943707	0.000261088				
8-1-2014 14:42:55	1.06281	0.000476417				
8-1-2014 14:43:05	0.490068	0.000293789				
8-1-2014 14:43:15	0	0				
8-1-2014 14:43:25	0	0				
8-1-2014 14:43:35	0.515926	0.000221828				
8-1-2014 14:43:45	0.504894	0.000163905				
8-1-2014 14:43:55	0.48971	0.000117267				
8-1-2014 14:44:05	0.515438	0.000146383				
8-1-2014 14:44:15	0.500198	0.000362471				
8-1-2014 14:44:25	1.96307	0.00105772				
8-1-2014 14:44:35	0.980063	0.000529008				
8-1-2014 14:44:45	0.521103	0.000107911				
8-1-2014 14:44:55	0	0				
8-1-2014 14:45:05	0	0				
