time centers	number conc comb	mass conc BBHG	mass conc comb
5-1-2015 07:00:30	1.83492	0.00694655	0.00761276
5-1-2015 07:01:30	1.58229	0.00843505	0.00937281
5-1-2015 07:02:30	1.41719	0.00528201	0.00691466
5-1-2015 07:03:30	1.74875	0.00535356	0.00535356
5-1-2015 07:04:30	1.91758	0.00547608	0.00933253
5-1-2015 07:05:30	1.50069	0.00477609	0.00477609
5-1-2015 07:06:30	1.33307	0.00496151	0.00722472
5-1-2015 07:07:30	2.00025	0.00742378	0.0149114
5-1-2015 07:08:30	1.24875	0.00315384	0.00315384
5-1-2015 07:09:30	1.08373	0.00434069	0.00434069
5-1-2015 07:10:30	1.08373	0.00232508	0.00232508
5-1-2015 07:11:30	1.58318	0.00704055	0.0106378
5-1-2015 07:12:30	1.49994	0.00419578	0.00419578
5-1-2015 07:13:30	2.08404	0.00702902	0.00702902
5-1-2015 07:14:30	1.49912	0.00618878	0.00715709
5-1-2015 07:15:30	1.33352	0.00431927	0.00431927
5-1-2015 07:16:30	1.41546	0.00348815	0.00348815
5-1-2015 07:17:30	1.66681	0.00429519	0.00679754
5-1-2015 07:18:30	1.75055	0.00720274	0.00720274
5-1-2015 07:19:30	1.33447	0.00573037	0.0107724
5-1-2015 07:20:30	1.83218	0.00577205	0.00777097
5-1-2015 07:21:30	1.58334	0.00467423	0.00467423
5-1-2015 07:22:30	2.00008	0.00888637	0.00930395
5-1-2015 07:23:30	1.66707	0.00446104	0.00446104
5-1-2015 07:24:30	1.99916	0.00896539	0.0225368
5-1-2015 07:25:30	1.08339	0.00429083	0.00429083
5-1-2015 07:26:30	2.24806	0.00749331	0.00938046
5-1-2015 07:27:30	1.91753	0.00461722	0.00461722
5-1-2015 07:28:30	0.916679	0.00296824	0.00296824
5-1-2015 07:29:30	1.08435	0.00379189	0.00379189
5-1-2015 07:30:30	1.49857	0.0069887	0.0069887
5-1-2015 07:31:30	1.83281	0.0069852	0.00873455
5-1-2015 07:32:30	2.08355	0.00578211	0.00578211
5-1-2015 07:33:30	2.00024	0.004473	0.004473
5-1-2015 07:34:30	1.58334	0.00695098	0.00937101
5-1-2015 07:35:30	1.91641	0.00893599	0.0222452
5-1-2015 07:36:30	1.16755	0.00563809	0.00563809
5-1-2015 07:37:30	1.16598	0.00430908	0.00494704
5-1-2015 07:38:30	1.41606	0.00256468	0.00256468
5-1-2015 07:39:30	2.16735	0.00710794	0.00710794
5-1-2015 07:40:30	1.99928	0.00557452	0.00557452
5-1-2015 07:41:30	2.2496	0.00599995	0.00599995
